Icon,Name,Latitude,Longitude,Ell.Height (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Start Time,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20240708070102 2024-07-08 7:08:07.954311800 AM,31.11647963,53.21743258,1651.433,USER,Fixed,Corrected,None,30, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.734,0.724,1.576, , , , 
 ,20240708070102 2024-07-08 7:08:09.945984600 AM,31.11643719,53.21763456,1651.236,USER,Fixed,Corrected,None,31, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.734,0.724,1.575, , , , 
 ,20240708070102 2024-07-08 7:08:11.970754600 AM,31.11639308,53.21784109,1651.173,USER,Fixed,Corrected,None,32, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.734,0.724,1.575, , , , 
 ,20240708070102 2024-07-08 7:08:13.970748200 AM,31.11634914,53.21804464,1651.198,USER,Fixed,Corrected,None,33, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.734,0.724,1.575, , , , 
 ,20240708070102 2024-07-08 7:08:15.960138100 AM,31.1163055,53.21824769,1651.283,USER,Fixed,Corrected,None,34, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.733,0.724,1.575, , , , 
 ,20240708070102 2024-07-08 7:08:18.364025100 AM,31.11626315,53.21844721,1651.476,USER,Fixed,Corrected,None,35, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.733,0.724,1.575, , , , 
 ,20240708070102 2024-07-08 7:08:21.820997000 AM,31.11625673,53.21847808,1651.132,USER,Fixed,Corrected,None,36, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.733,0.724,1.575, , , , 
 ,20240708070102 2024-07-08 7:08:25.507677800 AM,31.11629953,53.21869868,1649.868,USER,Fixed,Corrected,None,37, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.733,0.724,1.574, , , , 
 ,20240708070102 2024-07-08 7:08:27.496864100 AM,31.11633597,53.21890818,1649.714,USER,Fixed,Corrected,None,38, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.733,0.724,1.574, , , , 
 ,20240708070102 2024-07-08 7:08:29.490251300 AM,31.11637337,53.21911358,1650.045,USER,Fixed,Corrected,None,39, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.733,0.724,1.574, , , , 
 ,20240708070102 2024-07-08 7:08:31.485699700 AM,31.11641026,53.21931881,1650.515,USER,Fixed,Corrected,None,40, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.733,0.724,1.574, , , , 
 ,20240708070102 2024-07-08 7:08:34.006199100 AM,31.11644323,53.21951586,1650.92,USER,Fixed,Corrected,None,41, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.732,0.724,1.574, , , , 
 ,20240708070102 2024-07-08 7:08:38.664066800 AM,31.11644681,53.2195344,1650.349,USER,Fixed,Corrected,None,42, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.732,0.725,1.573, , , , 
 ,20240708070102 2024-07-08 7:08:42.321299800 AM,31.11649486,53.21931046,1649.99,USER,Fixed,Corrected,None,43, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.732,0.725,1.573, , , , 
 ,20240708070102 2024-07-08 7:08:44.343954100 AM,31.11654034,53.21910462,1649.848,USER,Fixed,Corrected,None,44, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.732,0.725,1.573, , , , 
 ,20240708070102 2024-07-08 7:08:46.333222200 AM,31.11658396,53.21890311,1649.68,USER,Fixed,Corrected,None,45, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.732,0.725,1.573, , , , 
 ,20240708070102 2024-07-08 7:08:48.351624700 AM,31.11662875,53.21869804,1649.501,USER,Fixed,Corrected,None,46, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.731,0.725,1.573, , , , 
 ,20240708070102 2024-07-08 7:08:50.347001800 AM,31.11667223,53.21849585,1649.545,USER,Fixed,Corrected,None,47, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.731,0.725,1.572, , , , 
 ,20240708070102 2024-07-08 7:08:52.338110000 AM,31.11671599,53.21829421,1649.551,USER,Fixed,Corrected,None,48, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.731,0.725,1.572, , , , 
 ,20240708070102 2024-07-08 7:08:54.329241000 AM,31.11675957,53.21809218,1649.462,USER,Fixed,Corrected,None,49, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.731,0.725,1.572, , , , 
 ,20240708070102 2024-07-08 7:08:56.333120100 AM,31.11680248,53.21788896,1649.346,USER,Fixed,Corrected,None,50, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.731,0.725,1.572, , , , 
 ,20240708070102 2024-07-08 7:08:58.326534300 AM,31.11684536,53.21768589,1649.267,USER,Fixed,Corrected,None,51, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:08, , , , ,1.731,0.725,1.572, , , , 
 ,20240708070102 2024-07-08 7:09:00.351380100 AM,31.11688949,53.21747947,1649.301,USER,Fixed,Corrected,None,52, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.731,0.725,1.572, , , , 
 ,20240708070102 2024-07-08 7:09:02.354784000 AM,31.11693313,53.21727579,1649.269,USER,Fixed,Corrected,None,53, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.731,0.725,1.571, , , , 
 ,20240708070102 2024-07-08 7:09:04.343944500 AM,31.116976,53.21707274,1649.16,USER,Fixed,Corrected,None,54, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.73,0.725,1.571, , , , 
 ,20240708070102 2024-07-08 7:09:06.335173600 AM,31.11701821,53.21686942,1649.155,USER,Fixed,Corrected,None,55, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.73,0.725,1.571, , , , 
 ,20240708070102 2024-07-08 7:09:08.322573200 AM,31.11706123,53.21666693,1649.185,USER,Fixed,Corrected,None,56, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.73,0.725,1.571, , , , 
 ,20240708070102 2024-07-08 7:09:10.343341100 AM,31.11710485,53.21646063,1649.269,USER,Fixed,Corrected,None,57, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.73,0.725,1.571, , , , 
 ,20240708070102 2024-07-08 7:09:12.347368200 AM,31.1171478,53.2162568,1649.367,USER,Fixed,Corrected,None,58, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.73,0.725,1.571, , , , 
 ,20240708070102 2024-07-08 7:09:14.340688700 AM,31.11719115,53.21605412,1649.328,USER,Fixed,Corrected,None,59, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.73,0.725,1.57, , , , 
 ,20240708070102 2024-07-08 7:09:16.344626900 AM,31.11723442,53.21584933,1649.345,USER,Fixed,Corrected,None,60, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.73,0.725,1.57, , , , 
 ,20240708070102 2024-07-08 7:09:18.332052500 AM,31.11727763,53.21564615,1649.352,USER,Fixed,Corrected,None,61, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.729,0.725,1.57, , , , 
 ,20240708070102 2024-07-08 7:09:20.323163000 AM,31.11732038,53.21544298,1649.359,USER,Fixed,Corrected,None,62, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.729,0.725,1.57, , , , 
 ,20240708070102 2024-07-08 7:09:22.352038900 AM,31.11736398,53.21523643,1649.234,USER,Fixed,Corrected,None,63, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.729,0.725,1.57, , , , 
 ,20240708070102 2024-07-08 7:09:24.343310400 AM,31.11740646,53.21503284,1649.118,USER,Fixed,Corrected,None,64, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.729,0.725,1.57, , , , 
 ,20240708070102 2024-07-08 7:09:26.339002800 AM,31.11744868,53.21482904,1649.152,USER,Fixed,Corrected,None,65, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.729,0.725,1.569, , , , 
 ,20240708070102 2024-07-08 7:09:28.326194500 AM,31.1174915,53.21462647,1649.235,USER,Fixed,Corrected,None,66, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.729,0.725,1.569, , , , 
 ,20240708070102 2024-07-08 7:09:30.354873400 AM,31.11753589,53.21442058,1649.179,USER,Fixed,Corrected,None,67, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.729,0.725,1.569, , , , 
 ,20240708070102 2024-07-08 7:09:32.349940100 AM,31.11757908,53.21421707,1649.119,USER,Fixed,Corrected,None,68, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.728,0.725,1.569, , , , 
 ,20240708070102 2024-07-08 7:09:34.351365600 AM,31.11762216,53.21401318,1649.172,USER,Fixed,Corrected,None,69, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.728,0.725,1.569, , , , 
 ,20240708070102 2024-07-08 7:09:36.346809100 AM,31.11766469,53.21381024,1649.174,USER,Fixed,Corrected,None,70, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.728,0.725,1.568, , , , 
 ,20240708070102 2024-07-08 7:09:38.338218000 AM,31.11770694,53.21360782,1649.183,USER,Fixed,Corrected,None,71, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.728,0.725,1.568, , , , 
 ,20240708070102 2024-07-08 7:09:40.346326400 AM,31.11774915,53.21340273,1649.332,USER,Fixed,Corrected,None,72, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.728,0.726,1.568, , , , 
 ,20240708070102 2024-07-08 7:09:42.347968100 AM,31.11779205,53.21319791,1649.47,USER,Fixed,Corrected,None,73, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.728,0.726,1.568, , , , 
 ,20240708070102 2024-07-08 7:09:44.337015900 AM,31.11783471,53.21299487,1649.558,USER,Fixed,Corrected,None,74, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.728,0.726,1.568, , , , 
 ,20240708070102 2024-07-08 7:09:46.325965600 AM,31.11787729,53.2127927,1649.414,USER,Fixed,Corrected,None,75, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.727,0.726,1.568, , , , 
 ,20240708070102 2024-07-08 7:09:48.350442900 AM,31.11792099,53.21258661,1649.152,USER,Fixed,Corrected,None,76, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.727,0.726,1.567, , , , 
 ,20240708070102 2024-07-08 7:09:50.608745100 AM,31.1179599,53.21239317,1649.019,USER,Fixed,Corrected,None,77, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.727,0.726,1.567, , , , 
 ,20240708070102 2024-07-08 7:09:55.708795500 AM,31.11796869,53.21235046,1649.116,USER,Fixed,Corrected,None,78, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.727,0.726,1.567, , , , 
 ,20240708070102 2024-07-08 7:09:59.382640100 AM,31.11801451,53.21256817,1648.827,USER,Fixed,Corrected,None,79, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:09, , , , ,1.726,0.726,1.566, , , , 
 ,20240708070102 2024-07-08 7:10:01.415778200 AM,31.11805338,53.21278176,1648.996,USER,Fixed,Corrected,None,80, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.726,0.726,1.566, , , , 
 ,20240708070102 2024-07-08 7:10:03.428006600 AM,31.11809118,53.21298998,1649.507,USER,Fixed,Corrected,None,81, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.726,0.726,1.566, , , , 
 ,20240708070102 2024-07-08 7:10:05.425615100 AM,31.11812863,53.21319599,1650.136,USER,Fixed,Corrected,None,82, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.726,0.726,1.566, , , , 
 ,20240708070102 2024-07-08 7:10:07.958932900 AM,31.11816263,53.21339344,1651.101,USER,Fixed,Corrected,None,83, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.726,0.726,1.566, , , , 
 ,20240708070102 2024-07-08 7:10:10.980161900 AM,31.11816587,53.21340931,1650.962,USER,Fixed,Corrected,None,84, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.725,0.726,1.565, , , , 
 ,20240708070102 2024-07-08 7:10:14.808578000 AM,31.1181234,53.21363117,1649.967,USER,Fixed,Corrected,None,85, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.725,0.726,1.565, , , , 
 ,20240708070102 2024-07-08 7:10:16.831065200 AM,31.11807847,53.21383989,1649.464,USER,Fixed,Corrected,None,86, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.725,0.726,1.565, , , , 
 ,20240708070102 2024-07-08 7:10:18.822358600 AM,31.11803263,53.21404497,1649.48,USER,Fixed,Corrected,None,87, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.725,0.726,1.565, , , , 
 ,20240708070102 2024-07-08 7:10:20.817683900 AM,31.11798826,53.21424973,1649.685,USER,Fixed,Corrected,None,88, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.725,0.726,1.564, , , , 
 ,20240708070102 2024-07-08 7:10:22.807096200 AM,31.11794538,53.21445313,1650.023,USER,Fixed,Corrected,None,89, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.724,0.726,1.564, , , , 
 ,20240708070102 2024-07-08 7:10:24.829693100 AM,31.11790279,53.21465787,1650.205,USER,Fixed,Corrected,None,90, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.724,0.726,1.564, , , , 
 ,20240708070102 2024-07-08 7:10:26.825132100 AM,31.11786017,53.21486189,1650.318,USER,Fixed,Corrected,None,91, ,BYCODE(0), ,0.014,0.009,0.012,0.017,         BYLAYER,  BYCODE, ,0,Vertical,7/8/2024 7:10, , , , ,1.724,0.726,1.564, , , , 
